column;description
track_id;unique_value
artist;artist_name
spotify_preview_url;access_to_song_demo
spotify_id;unique_value
tags;genres_sep_by_comma
genre;music_genre
year;year_release
duration_ms;duration_of_song_in_miliseconds
danceability;parameter_of_a_song
energy;parameter_of_a_song
key;key_song_was_made
loudness;higher_means_louder
mode;song_parameter
speechiness;higher_means_more_vocals
acousticness;self_explainable
instrumentalness;the_higher_less_vocals
liveness;higher_means_live_music
valence;song_parameter
tempo;bps_higher_means_faster_beats_per_second
time_signature;song_parameter
